"CZ_TYPE","US_FIPS","lat","long"
"C",18107,40.040296,-86.892715
"C",18109,39.482646,-86.447457
"C",18111,40.962399,-87.402172
"C",18113,41.404679,-85.417271
"C",18115,38.940527,-84.964299
"C",18117,38.547381,-86.489257
"C",18119,39.317339,-86.838845
"C",18121,39.77425,-87.19695
"C",18123,38.081436,-86.62654
"C",18125,38.397961,-87.232547
"C",18127,41.509914,-87.071313
"C",18129,38.027614,-87.868653
"C",18131,41.045272,-86.692538
"C",18133,39.665548,-86.853373
"C",18135,40.164079,-85.00579
"C",18137,39.100226,-85.260494
"C",18139,39.622379,-85.466446
"C",18141,41.617723,-86.288048
"C",18143,38.679431,-85.751898
"C",18145,39.524135,-85.792174
"C",18147,38.009697,-87.010375
"C",18149,41.284478,-86.644636
"C",18151,41.643467,-85.002405
"C",18153,39.089225,-87.415843
"C",18155,38.825854,-85.029681
"C",18157,40.389133,-86.893554
"C",18159,40.310229,-86.056207
"C",18161,39.623111,-84.925152
"C",18163,38.02007,-87.586166
"C",18165,39.854045,-87.462071
"C",18167,39.429143,-87.390375
"C",18169,40.843747,-85.795192
"C",18171,40.352658,-87.375847
"C",18173,38.097728,-87.272049
"C",18175,38.600613,-86.104751
"C",18177,39.863091,-85.006735
"C",18179,40.735273,-85.212974
"C",18181,40.75095,-86.864293
"C",18183,41.136426,-85.501892
"C",19001,41.328528,-94.478164
"C",19003,41.021656,-94.696906
"C",19005,43.274964,-91.382751
"C",19007,40.744296,-92.873061
"C",19009,41.679178,-94.904312
"C",19011,42.092547,-92.05763
"C",19013,42.471132,-92.3076
"C",19015,42.038642,-93.938358
"C",19017,42.780895,-92.327356
"C",19019,42.470328,-91.838666
"C",19021,42.741522,-95.141432
"C",19023,42.734757,-92.780153
"C",19025,42.38617,-94.643683
"C",19027,42.039492,-94.867647
"C",19029,41.333824,-94.933302
"C",19031,41.77236,-91.132611
"C",19033,43.074975,-93.250965
"C",19035,42.742737,-95.633262
"C",19037,43.059741,-92.31721
"C",19039,41.029191,-93.784096
"C",19041,43.081224,-95.149875
"C",19043,42.840985,-91.323576
"C",19045,41.898073,-90.534243
"C",19047,42.043119,-95.38909
"C",19049,41.68532,-94.040706
